# Created by Octave 10.2.0, Fri Jul 18 14:13:47 2025 CEST <thomas@thomas-titanium>
# name: C
# type: matrix
# rows: 86
# columns: 2
 0 -24.130797999999999
 1 -24.130797999999999
 2 -24.130797999999999
 3 -24.130797999999999
 4 -24.130797999999999
 5 -24.130797999999999
 6 -14.309357000000006
 7 8.2182459999999935
 8 16.696930000000009
 9 24.603302000000014
 10 37.025833000000006
 11 41.275939999999991
 12 44.79896500000001
 13 54.125564999999995
 14 54.072731000000005
 15 41.064713000000012
 16 34.565399000000014
 17 26.709427000000005
 18 36.031814999999995
 19 35.760681000000005
 20 35.812698000000012
 21 35.857406999999995
 22 34.856811999999991
 23 34.565399000000014
 24 34.665740999999997
 25 36.031814999999995
 26 34.565399000000014
 27 36.193878000000012
 28 34.665740999999997
 29 36.377228000000002
 30 39.660538000000003
 31 29.194839000000002
 32 39.998336999999992
 33 35.857406999999995
 34 36.146819999999991
 35 35.989258000000007
 36 40.815551999999997
 37 34.75874300000001
 38 35.944702000000007
 39 34.75874300000001
 40 34.518784000000011
 41 36.146819999999991
 42 36.183884000000006
 43 26.316360000000003
 44 10.742660999999998
 45 29.919601
 46 29.079162999999994
 47 30.167891999999995
 48 30.716186999999991
 49 29.215636999999987
 50 29.586669999999998
 51 36.146819999999991
 52 29.064269999999993
 53 35.710678000000001
 54 35.812698000000012
 55 35.812698000000012
 56 24.430739999999986
 57 39.488326999999998
 58 36.031814999999995
 59 29.13853499999999
 60 31.055083999999994
 61 21.434676999999994
 62 24.735611000000006
 63 24.695968999999991
 64 30.716186999999991
 65 17.026855000000012
 66 10.241150000000005
 67 29.150406000000004
 68 10.456740999999994
 69 36.078902999999997
 70 27.365874999999988
 71 10.913116000000002
 72 10.627746999999999
 73 13.208099000000004
 74 27.213530999999989
 75 26.535629
 76 30.858825999999993
 77 26.570267000000001
 78 36.183884000000006
 79 29.105864999999994
 80 26.439910999999995
 81 24.165802000000014
 82 32.702697999999998
 83 35.658919999999995
 84 40.309402000000006
 85 30.58433500000001


